id,name,interval_start,interval_end,plot,mission_info
-115993,AUSSAT-1  1985-076B,1985-08-27 14:39:19,2022-12-28 19:12:04,em,
-116275,AUSSAT-2  1985-109C,1985-11-27 14:02:13,2022-12-28 18:20:21,em,
-116292,1985-110B  SL-8_RB,1985-11-28 20:07:35,2022-12-28 16:00:59,em,
-116908,AJISAI  [1986-061A],1986-08-14 17:50:54,2022-12-29 03:43:40,em,
-119548,TDRS-3  [1988-091B],2014-09-26 17:45:57,2022-12-28 02:13:12,em,
-120452,NAVSTAR-18  [1990-008A],1990-01-26 07:15:54,2022-12-28 02:11:28,em,
-122087,AUSSAT-B1  1992-054A,1992-08-13 12:17:26,2022-12-28 12:51:24,em,
-122195,LAGEOS-2  [1992-070B],1992-10-23 15:07:50,2022-12-29 02:05:52,em,
-122911,Solidaridad-1  [1993-073A],1993-11-19 19:03:04,2022-12-28 15:15:12,em,
-122927,Telstar-401  [1993-077A],1993-12-15 07:56:24,2022-12-28 15:15:27,em,
-123051,GOES-8  [1994-022A],1994-04-13 01:07:23,2023-02-26 15:21:14,em,
-123227,AUSSAT-B3  1994-055A,1994-08-27 07:31:43,2022-12-28 16:25:26,em,
-123553,AMSC-1  [1995-019A],1995-04-07 06:40:42,2022-12-28 06:35:48,em,
-123581,GOES-9  [1995-025A],1995-05-22 11:53:01,2023-02-26 18:36:17,em,
-123754,Echostar-1  [1995-073A],1995-12-27 20:31:37,2022-12-28 11:37:42,em,
-123846,MSAT-1  [1996-022A],1996-04-20 05:30:13,2022-12-28 09:24:37,em,
-124313,Echostar-2  [1996-055A],1996-09-10 07:19:17,2022-12-29 04:25:15,em,
-124720,HALCA  1997-005A=Muses-B,1997-02-11 22:41:16,2022-12-28 09:57:28,em,
-124786,GOES-10  [1997-019A],1997-04-24 12:03:52,2023-02-25 22:55:51,em,
-125126,HGS-1  1997-086A=Asiasat-3,1997-12-24 12:37:34,2022-12-28 01:14:52,,
-125544,International Space Station  1998-067A,1998-11-19 18:51:03,2022-12-29 06:20:20,em,
-125789,QuikSCAT  [1999-034A],1999-06-19 15:31:37,2022-12-28 13:42:08,em,
-125989,XMM-Newton  [1999-066A],1999-12-10 02:37:18,2022-12-30 00:48:42,em,
-125994,TERRA  EOS-1,1999-12-18 08:03:47,2022-12-29 03:51:54,em,
-126352,GOES-11  [2000-022A],2000-05-02 13:10:50,2023-02-26 12:14:51,em,
-126402,Echostar-6  [2000-038A],2000-07-13 21:00:09,2022-12-28 19:07:51,em,
-126407,NAVSTAR-48  [2000-040A],2000-07-15 17:55:40,2022-12-28 18:02:39,em,
-126619,EO-1  [2000-075A],2000-11-21 07:26:17,2022-12-28 15:39:50,em,
-126639,AMC-8  GE-8,2000-12-20 04:42:32,2022-12-26 10:29:51,em,
-126824,Intelsat-901  [2001-024A],2001-06-08 13:47:33,2022-12-28 05:27:51,em,
-126871,GOES-12  [2001-031A],2001-07-22 13:25:09,2023-02-26 16:26:38,em,
-127391,GRACE-1  [2002-012A],2002-03-16 22:41:49,2018-04-08 22:00:52,em,
-127424,Aqua  [2002-022A],2002-05-03 22:55:37,2022-12-29 02:56:45,em,
-132487,Thor-5  2008-006A,2008-02-10 16:26:06,2022-12-29 02:54:51,em,
-132763,ICO_G-1  2008-016A=DBSD G1,2008-04-14 10:18:39,2022-12-28 15:19:36,em,
-133105,Jason-2  [2008-032A],2008-06-19 20:53:46,2022-12-28 18:02:09,em,
-133207,Echostar-11  [2008-035A],2008-07-15 18:02:49,2022-12-28 15:14:42,em,
-135491,GOES-14  [2009-033A],2009-06-27 06:10:00,2022-12-28 12:40:13,em,
-136032,NSS-12  [2009-058A],2009-10-29 03:19:34,2022-12-28 19:29:08,em,
-136395,Solar Dynamics Observatory  2010-005A,2010-02-11 05:02:57,2023-01-08 06:42:49,em,
-136499,Echostar-14  [2010-010A],2010-03-20 10:06:42,2022-12-28 15:12:11,em,
-137218,SKYTERRA-1  [2010-061A],2010-11-14 20:40:12,2022-12-29 04:57:13,em,
-137820,Tiangong-1  [2011-053A],2011-09-29 05:24:56,2018-04-02 00:21:09,em,
-138250,BEIDOU-M3  [2012-018A],2012-04-29 12:34:30,2022-12-28 11:48:15,em,
-138358,NuSTAR  2012-031A,2012-06-13 05:56:08,2022-12-28 13:04:59,em,
-138551,Echostar-17  [2012-035A],2012-07-05 12:17:52,2022-12-28 15:15:27,em,
-138833,NAVSTAR-67  [2012-053A],2012-10-04 02:26:27,2022-12-28 00:30:05,em,
-139089,NEOSsat  [2013-009D],2013-02-25 06:34:05,2022-12-28 13:28:21,em,
-139166,NAVSTAR-68  [2013-023A],2013-05-15 14:27:57,2022-12-28 21:01:48,em,
-139459,Chang'e_3_booster  [2013-070B],2021-04-05 00:00:00,2021-05-31 21:36:00,em,
-139479,Gaia,2013-12-19 09:55:26,2026-09-14 17:58:02,em,
-140059,OCO-2  [2014-035A],2014-07-01 22:57:52,2022-12-29 03:43:49,em,
-140376,SMAP  [2015-003A],2015-01-31 05:01:47,2022-12-28 19:21:06,em,
-140482,MMS-1  [2015-011A],2015-03-12 15:55:49,2022-12-28 21:36:02,em,
-140483,MMS-2  [2015-011B],2015-03-12 15:55:57,2022-12-28 21:46:02,em,
-140484,MMS-3  [2015-011C],2015-03-12 15:55:47,2022-12-28 21:46:02,em,
-140485,MMS-4  [2015-011D],2015-03-12 15:55:46,2022-12-28 21:54:02,em,
-140663,DirecTV-15  [2015-026A],2015-05-27 04:41:38,2022-12-28 12:13:24,em,
-140947,2015-056B,2015-10-02 10:28:09,2022-12-28 03:28:30,em,
-141043,LISA Pathfinder  [LPF],2015-12-03 04:45:42,2017-06-30 16:55:39,em,
-141240,Jason-3  [2016-002A],2016-01-17 08:23:10,2022-12-28 19:50:38,em,
-141748,Intelsat-33E  [2016-053A],2016-08-24 04:54:47,2022-12-28 19:30:01,em,
-143205,SpaceX Roadster  Tesla,2018-02-07 03:00,2090-01-02 00:00,em,
-143241,GSAT-6A  [2018-027A],2018-03-28 18:37:10,2022-12-28 18:26:15,em,
-234900,STEREO Third Stage,2006-10-26 00:53:05,2006-11-06 00:49:31,em,
-399080,Apollo 8 S-IVB,1968-12-21 16:04:38,1968-12-31 00:06:39,em,
-399090,Apollo 9 S-IVB,1969-03-03 23:38:29,1969-03-11 00:06:39,em,
-399100,Apollo 10 S-IVB,1969-05-18 19:44:21,1969-05-29 00:06:39,em,
-399101,Apollo 10 LM  Snoopy,1969-05-23 05:37:54,1969-05-28 00:06:39,em,
-399110,Apollo 11 S-IVB,1969-07-16 16:40:02,1969-07-28 00:06:39,em,
-399120,Apollo 12 S-IVB,1969-11-14 19:32:44,1969-12-06 00:06:40,em,
-999742,LISA Pathfinder Propulsion Module  [PRM],2016-01-22 11:31:21,2016-08-09 11:31:20,em,
-9901491,Tianwen-1,2020-07-23 06:00:00,2021-02-10 13:06:37,ss,mars
